# Hume rows of the National Freight Data Hub's National Formal Rest Areas file,
# with this study's decision on each. Derived subset; see PROVENANCE.md.
source_id,name,state,road_name,locality,direction_of_travel,site_type,heavy_vehicle_area,latitude,longitude,included,reason_excluded,assumed_bays,bays_basis
7783,SERVICE CENTRE near Tallarook,VIC,HUME FREEWAY,TALLAROOK,NORTHBOUND,SERVICE CENTRE,N,-37.063690,145.100433,N,type is silent about trucks and the heavy-vehicle flag is N,0,
7787,SERVICE CENTRE near Tallarook,VIC,HUME FREEWAY,TALLAROOK,SOUTHBOUND,SERVICE CENTRE,N,-37.063522,145.101852,N,type is silent about trucks and the heavy-vehicle flag is N,0,
7788,CARS AND TRUCKS near Wandong,VIC,HUME FREEWAY,WANDONG,SOUTHBOUND,CARS AND TRUCKS,Y,-37.329006,145.030992,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
7789,SERVICE CENTRE near Wallan,VIC,HUME FREEWAY,WALLAN,SOUTHBOUND,SERVICE CENTRE,N,-37.403233,145.017181,N,type is silent about trucks and the heavy-vehicle flag is N,0,
7790,CARS AND TRUCKS near Beveridge,VIC,HUME FREEWAY,BEVERIDGE,SOUTHBOUND,CARS AND TRUCKS,Y,-37.497242,144.959000,Y,,10,estimate: Victoria has no classes; a general rest area sized as Class 3-4
7935,SERVICE CENTRE near Kalkallo,VIC,HUME FREEWAY,KALKALLO,SOUTHBOUND,SERVICE CENTRE,N,-37.525367,144.948486,N,type is silent about trucks and the heavy-vehicle flag is N,0,
7936,SERVICE CENTRE near Epping,VIC,HUME FREEWAY,EPPING,SOUTHBOUND,SERVICE CENTRE,N,-37.647800,144.994217,N,type is silent about trucks and the heavy-vehicle flag is N,0,
7937,SERVICE CENTRE near Mickleham,VIC,HUME FREEWAY,MICKLEHAM,NORTHBOUND,SERVICE CENTRE,N,-37.541394,144.944220,N,type is silent about trucks and the heavy-vehicle flag is N,0,
14343,Partridge VC Rest Area Southbound,NSW,HUME HIGHWAY,WOLLONDILLY,Southbound,Class 2 Heavy Vehicle Rest Area,Y,-34.157110,150.738750,Y,,20,Austroads AP-R591-19 Table 4.1 minimum
14366,Pheasants Nest Service Centre Southbound,NSW,HUME HIGHWAY,WOLLONDILLY,Northbound,Service Centre,Y,-34.283420,150.641880,N,serves the other direction (Northbound),0,
14390,Pheasants Nest Service Centre Northbound,NSW,HUME HIGHWAY,WOLLONDILLY,Northbound,Service Centre,Y,-34.283570,150.637040,N,serves the other direction (Northbound),0,
14411,Yerrinbool Stopping Bay,NSW,HUME HIGHWAY,WINGECARRIBEE,Northbound,Green Reflector Sites,Y,-34.357360,150.541900,N,serves the other direction (Northbound),0,
14433,Mackey VC Rest Area,NSW,HUME HIGHWAY,WINGECARRIBEE,Southbound,Light Vehicle Only Rest Area,Y,-34.579340,150.253420,N,type says light vehicles only (whatever the flag says),0,
14455,Gordon VC Rest Area,NSW,HUME HIGHWAY,WINGECARRIBEE,Both Directions,Light Vehicle Only Rest Area,Y,-34.534980,150.281670,N,type says light vehicles only (whatever the flag says),0,
14477,Sallys Cnr Service Centre Southbound,NSW,HUME HIGHWAY,WINGECARRIBEE,Westbound,Service Centre,Y,-34.606860,150.228170,Y,,20,"estimate: commercial roadhouse, sized as Austroads Class 1-2"
14499,Sutton Forrest Rest Area Sorthbound,NSW,HUME HIGHWAY,WINGECARRIBEE,Westbound,Class 5 Heavy Vehicle Rest Area,Y,-34.613480,150.220090,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
14522,Sutton Forrest Stopping Bay Northbound,NSW,HUME HIGHWAY,WINGECARRIBEE,Eastbound,Informal Heavy Rest Areas,Y,-34.616860,150.214800,N,serves the other direction (Eastbound),0,
16194,Sallys Cnr Service Centre Northbound,NSW,HUME HIGHWAY,WINGECARRIBEE,Eastbound,Service Centre,Y,-34.608200,150.226000,N,serves the other direction (Eastbound),0,
16215,Logbook Hill Marulan Rest Area Northbound,NSW,HUME HIGHWAY,GOULBURN MULWAREE,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.691630,150.032070,N,serves the other direction (Eastbound),0,
16237,Marulan Service Centre Southbound,NSW,S/B HUME HIGHWAY,GOULBURN MULWAREE,Westbound,Service Centre,Y,-34.717090,150.002380,Y,,20,"estimate: commercial roadhouse, sized as Austroads Class 1-2"
16261,Marulan Service Centre Northbound,NSW,N/B HUME HIGHWAY,GOULBURN MULWAREE,Eastbound,Service Centre,Y,-34.719600,149.996400,N,serves the other direction (Eastbound),0,
16284,Chowne VC Rest Area,NSW,HUME HIGHWAY,GOULBURN MULWAREE,Eastbound,Light Vehicle Only Rest Area,Y,-34.743650,149.886860,N,type says light vehicles only (whatever the flag says),0,
16305,Derrick VC Rest Area,NSW,HUME HIGHWAY,GOULBURN MULWAREE,Northbound,Class 4 Heavy Vehicle Rest Area,Y,-34.736550,149.830120,N,serves the other direction (Northbound),0,
16328,Goulburn Bypass Rest Area Southbound,NSW,HUME HIGHWAY,GOULBURN MULWAREE,Southbound,Class 5 Heavy Vehicle Rest Area,Y,-34.760710,149.766660,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
16349,Run O Waters Rest Area,NSW,HUME HIGHWAY,GOULBURN MULWAREE,Westbound,Class 5 Heavy Vehicle Rest Area,Y,-34.783640,149.661780,Y,,5,Austroads AP-R591-19 Table 4.1 minimum
16371,Drews Truck Parking Bay,NSW,HUME HIGHWAY,GOULBURN MULWAREE,Westbound,Parking Area Heavy Rest Areas,Y,-34.787790,149.639550,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
16393,French VC Rest Area,NSW,HUME HWY N/BOUND,GOULBURN MULWAREE,Eastbound,Light Vehicle Only Rest Area,Y,-34.787080,149.640110,N,type says light vehicles only (whatever the flag says),0,
16415,Mystery Boulders Truck Parking Bay Southbound,NSW,HUME HWY S/BOUND,GOULBURN MULWAREE,Westbound,Parking Area Heavy Rest Areas,Y,-34.807530,149.536220,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
16438,Mystery Boulders Rest Area Northbound,NSW,HUME HWY N/BOUND,GOULBURN MULWAREE,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.807030,149.538530,N,serves the other direction (Eastbound),0,
16459,Breadbalbane Rest Area,NSW,HUME HWY S/BOUND,UPPER LACHLAN SHIRE,Eastbound,Class 5 Heavy Vehicle Rest Area,Y,-34.803390,149.494460,N,serves the other direction (Eastbound),0,
16483,Windmills Truck Parking Bay Southbound,NSW,HUME HIGHWAY,UPPER LACHLAN SHIRE,Westbound,Parking Area Heavy Rest Areas,Y,-34.823090,149.397750,Y,,5,estimate: every such site is named a Truck Parking Bay; sized as Class 5
