# Charging stations from OpenStreetMap, bbox -34.15,150.6,-33.55,151.35. Chargers and power are OSM tags; price is the --price assumption. Generated by tools/fetch_real_network.py.
id,name,has_station,price_per_kwh,chargers,power_kw,latitude,longitude,osm_id,operator,merged_from
65,bp pulse #2,1,0.55,2,22.0,-33.91955,151.06695,node/10218282678,bp pulse,1
66,Chargefox #7,1,0.55,4,22.0,-34.06782,150.78896,node/10296267794;node/10314029528,Chargefox,2
67,bp pulse #3,1,0.55,2,22.0,-34.05322,150.82364,node/10563108217,bp pulse,1
68,bp pulse #4,1,0.55,2,22.0,-33.81095,150.85031,node/10590006365,bp pulse,1
69,bp pulse #5,1,0.55,4,22.0,-33.79554,151.25592,node/10607603446;node/10872527226,bp pulse,2
70,bp pulse #6,1,0.55,1,22.0,-33.93882,151.01773,node/10628109252,bp pulse,1
71,Jolt #20,1,0.55,1,22.0,-33.71368,151.29835,node/10652018665,Jolt,1
72,bp pulse #7,1,0.55,2,22.0,-33.68998,151.10613,node/10687053371,bp pulse,1
73,City of Sydney,1,0.55,2,22.0,-33.85912,151.20779,node/10708226454,City of Sydney,1
74,NRMA #2,1,0.55,1,22.0,-33.87551,151.19937,node/10720208509,NRMA,1
75,Jolt #21,1,0.55,1,22.0,-33.76210,151.27254,node/10750707216,Jolt,1
76,Jolt #22,1,0.55,1,22.0,-33.71942,151.29863,node/10750707217,Jolt,1
77,Tesla Supercharger #5,1,0.55,12,250.0,-34.07150,150.80730,node/10774220953,Tesla,1
78,Jolt #23,1,0.55,1,22.0,-33.86938,151.10776,node/10780543260,Jolt,1
79,bp pulse #8,1,0.55,4,22.0,-33.81967,151.02121,node/10807470662,bp pulse,1
80,Tesla Destination Charger #6,1,0.55,1,22.0,-33.73091,150.97359,node/10815896313,,1
81,Tesla Supercharger #6,1,0.55,6,22.0,-33.74522,150.61041,node/10861761260,Tesla,1
82,Jolt #24,1,0.55,2,22.0,-33.92054,151.19114,node/10863588015,Jolt,1
83,Chargefox #9,1,0.55,1,22.0,-33.87479,151.24631,node/10895054616,Chargefox,1
84,bp pulse #10,1,0.55,2,22.0,-33.91611,151.17291,node/10907235224,bp pulse,1
85,Jolt #25,1,0.55,1,22.0,-33.95633,151.22657,node/10919805054,Jolt,1
86,AmpCharge #3,1,0.55,2,22.0,-33.74300,150.69295,node/10924895189,AmpCharge,1
87,Jolt #26,1,0.55,1,22.0,-33.96103,151.23094,node/10937312713,Jolt,1
88,bp pulse #11,1,0.55,2,22.0,-33.98878,150.85931,node/10959087488,bp pulse,1
89,Jolt #27,1,0.55,1,22.0,-33.75053,151.06508,node/10971491088,Jolt,1
90,bp pulse #12,1,0.55,2,22.0,-33.76718,150.95181,node/10984470645,bp pulse,1
91,Evie Networks #14,1,0.55,4,22.0,-33.75131,151.24338,node/10992560808,Evie Networks,1
92,Evie Networks #15,1,0.55,2,22.0,-33.85210,150.99559,node/11004256023,Evie Networks,1
93,Evie Networks #16,1,0.55,2,22.0,-33.88851,151.23756,node/11016758544,Evie Networks,1
94,Engie,1,0.55,2,22.0,-33.85042,150.89839,node/11048936553,,1
95,AmpCharge #4,1,0.55,2,22.0,-33.90475,151.06460,node/11079299253,AmpCharge,1
96,Pittwater RSL,1,0.55,1,22.0,-33.67770,151.29335,node/11135601782,Pittwater RSL,1
97,Jolt #28,1,0.55,1,22.0,-33.68329,150.91652,node/11167384460,Jolt,1
98,Station 102,1,0.55,2,22.0,-33.90774,151.10387,node/11189565177,,1
99,Jolt #29,1,0.55,2,22.0,-33.73551,150.85133,node/11258008348,Jolt,1
100,AmpCharge #5,1,0.55,2,150.0,-33.76559,150.62181,node/11335189892,AmpCharge,1
101,Evie Networks #17,1,0.55,4,22.0,-34.02930,151.12209,node/11345075655,Evie Networks,1
102,Evie Networks #18,1,0.55,4,22.0,-33.77579,150.93300,node/11365136257,Evie Networks,1
103,bp pulse #13,1,0.55,1,22.0,-33.71275,150.95914,node/11365173050,bp pulse,1
104,Evie Networks #19,1,0.55,4,22.0,-33.72779,150.97616,node/11365214134,Evie Networks,1
105,Jolt #30,1,0.55,2,22.0,-33.70044,150.92817,node/11372241486,Jolt,1
106,Evie Networks #20,1,0.55,4,22.0,-34.07202,150.80517,node/11419885107,Evie Networks,1
107,AmpCharge #6,1,0.55,2,22.0,-33.95556,150.86511,node/11419886723,AmpCharge,1
108,Woolworths Charging,1,0.55,8,22.0,-33.79279,150.99951,node/11422466181,Chargefox,1
109,AmpCharge #7,1,0.55,2,22.0,-33.74553,150.74084,node/11425340896,AmpCharge,1
110,bp pulse #14,1,0.55,2,22.0,-33.74351,150.69222,node/11427578131,bp pulse,1
111,AmpCharge #8,1,0.55,2,22.0,-33.71615,150.84479,node/11440214108,AmpCharge,1
112,Exploren,1,0.55,1,22.0,-33.81409,151.17242,node/11447868870,Exploren,1
113,Jolt #31,1,0.55,1,22.0,-33.59706,151.32005,node/11679262104,Jolt,1
114,Jolt #32,1,0.55,3,22.0,-33.95800,150.88655,node/11689937303,Jolt,1
115,Evie Networks #21,1,0.55,4,22.0,-34.04181,150.73548,node/11695236309,Evie Networks,1
116,Chargefox #10,1,0.55,1,22.0,-33.88502,151.25334,node/11738297527,Chargefox,1
117,Exploren #2,1,0.55,1,22.0,-33.88448,151.23585,node/11815611441,Exploren,1
118,Chargefox #11,1,0.55,4,22.0,-34.07162,150.80587,node/11842761957,Chargefox,1
119,Engie #2,1,0.55,2,22.0,-33.85464,151.07722,node/11842876526,Chargefox,1
120,EVlink,1,0.55,1,22.0,-33.88848,151.25147,node/11845737187,EVlink,1
121,EVlink #2,1,0.55,1,22.0,-33.88451,151.23739,node/11853840472,EVlink,1
122,AmpCharge #9,1,0.55,2,22.0,-33.92960,150.95531,node/11957109508,AmpCharge,1
123,Evie Networks #22,1,0.55,4,22.0,-34.03091,150.84898,node/12015862929,Evie Networks,1
124,Exploren #3,1,0.55,1,22.0,-33.74179,151.21401,node/12128715250,Exploren,1
125,Chargefox #12,1,0.55,2,22.0,-33.62148,151.14937,node/12167440484,Chargefox,1
126,Exploren #4,1,0.55,1,22.0,-33.81468,151.17134,node/12167732651,Exploren,1
127,EVlink #3,1,0.55,1,22.0,-33.82464,151.19582,node/12202880553,EVlink,1
128,Chargefox #13,1,0.55,2,22.0,-33.88180,151.22829,node/12395564018,Chargefox,1
129,EVSE,1,0.55,4,22.0,-33.90793,151.13603,node/12401912951,EVSE,1
130,Plus ES,1,0.55,1,22.0,-33.90651,151.13796,node/12401912952,Plus ES,1
131,Plus ES #2,1,0.55,1,22.0,-33.90291,151.14183,node/12401940007,Plus ES,1
132,EVSE #2,1,0.55,2,22.0,-33.90136,151.13684,node/12401940008,EVSE,1
133,Plus ES #3,1,0.55,2,22.0,-33.90165,151.13931,node/12401940009;node/12401940011,Plus ES,2
134,Plus ES #4,1,0.55,1,22.0,-33.90302,151.13984,node/12401940010,Plus ES,1
135,EVSE #3,1,0.55,2,22.0,-33.90018,151.14001,node/12401940012,EVSE,1
136,Plus ES #6,1,0.55,1,22.0,-33.90244,151.14095,node/12407007682,Plus ES,1
137,NRMA #3,1,0.55,1,22.0,-33.93010,150.87550,node/12434721630,NRMA,1
138,Bankstown Supercharger,1,0.55,6,22.0,-33.93272,151.02846,node/12560173013,Tesla,1
139,Jolt Dee Why B-Line,1,0.55,1,22.0,-33.75234,151.28667,node/12565112258,Jolt,1
140,bp pulse #15,1,0.55,5,22.0,-34.07718,151.01135,node/12605963234,bp pulse,1
141,Shell Recharge Solutions,1,0.55,4,350.0,-34.04965,150.75997,node/12686156645,Shell Recharge Solutions,1
142,Exploren #5,1,0.55,2,22.0,-34.04400,150.73712,node/12757295582,Exploren,1
143,Seavolt,1,0.55,1,22.0,-33.65125,151.28942,node/12816207122,,1
144,Evie Networks #23,1,0.55,1,22.0,-33.82377,151.19512,node/12896497308,Evie Networks,1
145,Tesla Supercharger #7,1,0.55,8,22.0,-33.79323,151.26462,node/12968478808,Tesla,1
146,Exploren #6,1,0.55,2,120.0,-33.81079,151.03444,node/12990581486,Exploren,1
147,Evie Networks #24,1,0.55,2,22.0,-33.82737,151.23038,node/13012980190;node/13953454186,Evie Networks,2
148,AmpCharge #10,1,0.55,4,22.0,-34.03954,150.74317,node/13018467011,AmpCharge,1
149,Tesla Supercharger #8,1,0.55,4,22.0,-33.75861,150.99211,node/13020827820,Tesla,1
150,AmpCharge #11,1,0.55,2,22.0,-33.77439,150.94492,node/13036266779,AmpCharge,1
